powered_by		Desarrollado con
movie_0_1		Pero la envidia de Gaxlon, uno de los consejeros del rey, acaba de trastornar esta tranquilidad.../Gaxlon quería regir el reino por sí solo, entonces aprisionó a Aldan, el rey. No fue capaz de matarlo, ya que fueran amigos de infancia .../Cuando sus secuaces capturaron al rey, las 4 súper bombas llegaron y presenciaron la terrible escena ...
movie_0_2		Gaxlon fue rápido y ordenó a sus secuaces que también atacaran las súper bombas, pero Aldan los protegió con una magia ancestral./Viendo que las súper bombas no podían ser derrotadas, ordenó a sus secuaces que encarcelacen a cada uno de ellos en un lugar distante.../Y luego comenzó su reinado de terror.
movie_0_3		Mientras las superbombas eran llevadas a lugares lejanos, Bomba Azul, el más inteligente de ellos, pudo engañar a su captor y escapar .../Vio que llevaban a Bomba Vermelha en dirección a la Isla Tars, por lo que se dirigió hacia allí, para empezar a rescatar a sus amigos ...
movie_1_0		Bomba Azul y Bomba vermelha se regocijaron al encontrarse de nuevo y haber derrotado al primero de los secuaces de Gaxlon./Sin embargo, no tenían tiempo que perder y pronto se dirigieron fuera del castillo en busca de sus otros amigos ...
movie_1_1		Bomba Vermelha dijo que vio llevar a Bomba Amarela en dirección al Bosque de los Sabios, en el continente./Bomba Azul lo miró y bromeó diciendo: "¡Espero que seas bueno nadando!".
movie_2_0		Luego de derrotar a la espantosa serpiente Sahiss, Azul y Vermelha liberaron a Bomba Amarela, quien no podría estar más feliz. Comenzó a saltar, tan alto como solo ella pudo./De nuevo, se apresuraron a salir del lugar y buscar a Bomba Verde, la última de las súper bombas capturadas.
movie_2_1		Al salir del bosque por el norte, vieron las Montañas Lluviosas asomando en el horizonte./Pensaron que sería un buen escondite para un esbirro de Gaxlon, así que siguieron adelante, listos para escalar mucho ...
movie_3_0		"¡¡¡CORRE !!!", instó Bomba Verde a los demás mientras caían carámbanos del techo en el antiguo escondite de Ulor./Después de escapar de la amenaza, finalmente pudieron respirar y Bomba Verde agradeció a Azul, Vermelha y Amarela por el rescate./Sin embargo Bomba Verde no estaba de buen humor (como siempre) ...
movie_3_1		Les dijo a los demás que cuando lo llevaban a la cima de la montaña, vio a una criatura de aspecto maligno apoderarse de un pueblo inocente en la base de las montañas./"¡Tenemos que ayudar a esos aldeanos!", dijo, y todos estuvieron de acuerdo, iniciando el largo descenso ...
movie_4_0		Después de derrotar al malvado Zirk'n, las súper bombas se reunieron alrededor del anciano de la aldea, quien expresó profusamente su agradecimiento./Él les preguntó si podían hacer algo a cambio, y las super bombas respondieron que lo que más necesitaban ahora era información, ya que no sabían dónde encontrar a Aldan.
movie_4_1		El anciano respondió: "Poco sé sobre este vil Gaxlon del que hablas, pero sé de alguien que podría saber .../Se dice que un misterioso oráculo vive en el Pantano de Mual. No puedo decirte su ubicación, pero puedo darte este mapa para ayudarte a llegar al pantano"./Parece que otro viaje estaba a punto de comenzar ...
movie_5_0		Al ver al monstruo Globb derrotado, una figura misteriosa se acercó desde la oscuridad ... ¡Era el oráculo mencionado por el anciano del Pueblo de Inkut!/Las bombas le preguntaron dónde buscar a su rey. El oráculo luego puso sus manos sobre una bola de cristal y comenzó a murmurar .../"El rey derrocado estaba cautivo en cuevas oscuras, pero parece haber escapado a un lugar menos oscuro cercano ..."
movie_5_1		Las bombas concluyeron que se refería a las Cuevas de Ooria, todo el camino al norte de Enmat, muy lejos .../"No se preocupen amigos, alguien de aquí podría ayudarlos en su noble búsqueda ...", dijo el oráculo, y entonces apareció un dragón ¡y llevó las súper bombas al cielo!/"¡A las cuevas Ooria, por favor!", dijo Bomba Azul, y la criatura pareció entender.
movie_6_0		El rey y las cuatro súper bombas se llenaron de determinación después de la derrota del segundo al mando de Gaxlon./"¡Tuvimos una victoria aquí, pero debemos apurarnos, porque nuestra gente está sufriendo la tiranía de Gaxlon mientras hablamos!", el rey habló, y las súper bombas se sintieron motivadas a poner fin a esa búsqueda ...
movie_6_1		Se dirigieron hacia la Ciudad de las Bombas, que estaba en las proximidades, y mientras se acercaban a sus fronteras, se sintió como si Gaxlon los estuviera mirando desde la distancia, con una sonrisa malvada en su rostro ...
movie_7_0		El reinado de terror de Gaxlon finalmente terminó. Aldan lo sentenció a un exilio eterno en una tierra lejana, en las afueras de Enmat./Las súper bombas vieron este momento aliviados, mientras Gaxlon se encogía de verguenza, retrocediendo del verdadero rey.
movie_7_1		¡La paz finalmente fue restaurada en la Ciudad de las Bombas! El rey salió a las murallas del castillo y saludó a la gente./Todos estaban extasiados y vitorearon al rey y las súper bombas con mucho confeti ... ¡Seguramente, un día para recordar!
movie_8_0		Cuando las bombas se acercaron al enorme artefacto, empezó a emanar rayos de luz y una voz deslumbrante pareció surgir de la nada .../"Felicidades, viajeros, han llegado a un punto nunca antes alcanzado por ningún otro. Sin embargo, si buscas el verdadero conocimiento, el viaje no termina aquí .../Pasad por este portal y comenzará una verdadera prueba de vuestras virtudes ..."
movie_8_1		Se abrió un enorme portal donde estaba el artefacto. Las bombas se miraron perplejas./Entonces, Bomba Azul dijo con una sonrisa: "Creo que hemos terminado con las pruebas por un tiempo, ¿no?". Todos se rieron y comenzaron a caminar el largo camino de regreso a casa ...
game_end		¡Fin!
game_end_sub	Pero... ¿has recogido todos los Specs?
game_end_2		¡Fin!
game_end_2_sub	Ahora sí, de verdad.
