powered_by		Didukung oleh
stage_5_4		Malam Turun di Mual
stage_5_5		Sarang Para Makhluk Buas
world_6			Gua Ooria
stage_6_1		Jalan Berbatu di Depan
stage_6_2		Platform yang Tak Terkendali!
stage_6_3		Labirin Bawah Tanah yang Dalam
stage_6_4		Menjelajah Dalam Kegelapan
stage_6_5		Drepz di Jurang Gelap
world_7			Kota Bom
stage_7_1		Menyusup Melalui Pinggiran Kota
stage_7_2		Tentara Sang Raja Palsu
stage_7_3		Mendekati Tembok Istana
stage_7_4		Memasuki Istana Kerajaan
stage_7_5		Pertarungan untuk Menegakkan Keadilan
world_8			Lae, Hutan Ajaib
stage_8_1		Petualangan Menembus Kabut
bonus			Bonus
bonus_1			Sampai ke garis akhir
bonus_2			Bunuh semua musuh
bonus_3			Kumpulkan semua Batu Api
movie_0_0		Di tanah yang jauh, berdiri sebuah desa indah yang dihuni oleh para bom hidup./Dulu, desa itu penuh dengan kedamaian, rakyatnya hidup makmur dan menghormati rajanya.../Tapi kini, kedamaian itu terusik oleh rasa dengki Gaxlon, salah satu penasihat raja...
movie_0_1		Gaxlon ingin merebut takhtanya dan memimpin sendiri, maka ia menjebak Aldan, rajanya sendiri. Namun, ia tak tega membunuhnya karena dulu mereka berteman sejak kecil.../Saat para bawahannya menyeret raja, keempat bom super datang dan melihat kejadian mengerikan itu dengan mata kepala sendiri...
movie_0_2		Gaxlon dengan sigap memerintahkan pasukannya menyerang para bom super, namun, Aldan melindungi mereka dengan sihir kuno./Menyadari bahwa kekuatan mereka terlalu besar untuk dikalahkan, Gaxlon pun memerintahkan agar mereka dikurung di tempat-tempat terpencil... Dari sanalah, masa kekuasaan kejamnya dimulai.
movie_0_3		Di saat para bom super dibawa ke tempat yang jauh, Bomba Azul—si paling pintar—berhasil mengelabui penjaganya dan melarikan diri.../Ia sempat melihat Bomba Vermelha dibawa ke arah Tars Island. Tanpa ragu, ia pun bergegas ke sana untuk menyelamatkan teman-temannya...
movie_1_0		Bomba Azul dan Bomba Vermelha bersukacita saat bertemu kembali dan berhasil mengalahkan anak buah pertama Gaxlon./Namun, mereka tak punya waktu untuk berlama-lama dan segera keluar dari istana untuk mencari teman-teman mereka yang lain...
movie_1_1		Kata Bomba Vermelha, dia melihat Bomba Amarela dibawa ke Hutan Wisemen, yang ada di benua sana./Dengan nada bercanda, Bomba Azul menatapnya dan berkata, "Semoga kamu bisa berenang, ya!".
movie_2_0		Usai mengalahkan Sahiss si ular menakutkan, Azul dan Vermelha berhasil membebaskan Bomba Amarela, yang tampak begitu bahagia. hingga langsung melompat tinggi seperti biasanya. Dia langsung melompat tinggi seperti biasanya./Tanpa membuang waktu, mereka segera melanjutkan perjalanan demi menyelamatkan Bomba Verde, bom super terakhir yang masih disekap.
movie_2_1		Saat meninggalkan hutan lewat utara, tampak Pegunungan Hujan menjulang di kejauhan./Mereka menduga itulah tempat persembunyian sempurna bagi anak buah Gaxlon, maka mereka pun melangkah maju, siap menghadapi pendakian panjang...
movie_3_0		"LARI!!!", seru Bomba Verde panik, saat es-es tajam berjatuhan dari langit-langit bekas persembunyian Ulor./Setelah mereka berhasil meloloskan diri dari bahaya, akhirnya mereka bisa bernapas lega. Bomba Verde pun mengucapkan terima kasih pada Azul, Vermelha, dan Amarela yang telah menyelamatkannya./Meski begitu, suasanya hatinya tetap muram (seperti biasanya)...
movie_3_1		Ia bercerita pada yang lain bahwa saat dibawa ke atas gunung, ia melihat sesosok makhluk jahat menguasai desa tampak damai di kaki gunung./"Kita harus bantu mereka!", ujarnya. Semuanya setuju dan mereka pun mulai menuruni lereng panjang...
movie_4_0		Usai mengalahkan si jahat Zirk'n, para bom super berkumpul di sekitar tetua desa, yang tak henti-hentinya mengucap syukur./Ia bertanya apakah ada yang bisa ia lakukan untuk membalas jasa mereka, dan para bom super menjawab bahwa yang paling mereka butuhkan saat ini adalah informasi, karena mereka sama sekali tak tahu di mana Aldan berada.
movie_4_1		Sang tetua berkata, "Aku tak tahu banyak soal Gaxlon keji yang kalian sebutkan, tapi aku tahu seseorang yang mungkin mengetahuinya.../Katanya, ada seorang peramal misterius yang tinggal di Rawa Mual. Aku tak bisa memberitahu kalian letak pastinya, tapi peta ini bisa membantu kalian sampai ke sana."/Petualangan baru pun tampaknya segera dimulai...
movie_5_0		Begitu Globb dikalahkan, dari balik bayang-bayang muncullah sosok misterius... Ternyata ia adalah peramal yang pernah disebut oleh tetua Desa Inkut!/Para bom pun menanyakan ke mana arah untuk menemukan raja mereka. Sang peramal menaruh tangannya di atas bola kristal dan bergumam pelan.../"Raja yang digulingkan ditahan di gua gelap, tapi sepertinya kini ia berada di tempat yang sedikit lebih terang, tak jauh dari sana..."
movie_5_1		Mereka pun menyimpulkan bahwa yang dimaksud adalah Gua Ooria, jauh di bagian utara Enmat.../"Jangan cemas, kawan-kawan. Ada makhluk di sini yang mungkin bisa menolong kalian dalam misi mulia ini," kata sang peramal. Seekor monster besar berbentuk naga pun muncul dan membawa para bom super ke udara!./"Ke Gua Ooria, tolong ya!" pinta Bomba Azul. Ajaibnya, sang makhluk seolah paham.
movie_6_0		Setelah berhasil menumbangkan tangan kanan Gaxlon, sang raja dan keempat bom super semakin bersemangat./"Kita memang menang, tapi kita tak boleh berlama-lama. Rakyat kita sedang merasakan kekejaman Gaxlon saat ini juga!", seru sang raja. Mendengar itu, para bom super pun makin terpacu untuk menyelesaikan perjalanan mereka...
movie_6_1		Mereka bergerak ke arah Kota Bom yang berada di dekat situ. Semakin dekat mereka ke batas kota, perasaan aneh menyergap—seakan-akan Gaxlon sedang memperhatikan mereka dari kejauhan, tersenyum jahat...
movie_7_0		Akhirnya, kekuasaan kejam Gaxlon runtuh. Aldan menghukumnya dengan pengasingan selamanya di tanah asing, jauh di luar Enmat./Para bom super melihatnya dengan rasa puas, sementara Gaxlon merunduk dan perlahan mundur dari hadapan sang raja sejati.
movie_7_1		Kota Bom akhirnya kembali damai! Raja muncul di atas tembok istana dan melambaikan tangan pada rakyatnya./Sambutan meriah pun pecah, dengan konfeti beterbangan menyambut raja dan para bom super... Sebuah hari yang akan dikenang selamanya!
movie_8_0		Cahaya menyilaukan menyembur dari artefak besar pada saat para bom semakin dekat, disusul suara megah entah dari mana datangnya.../"Selamat, para penjelajah. Tak ada satu pun yang pernah sampai sejauh ini. Namun, bila kalian menginginkan kebenaran sejati, maka ini baru permulaan.../Lalui portal ini, dan ujian sesungguhnya akan menguji jiwa kalian..."
movie_8_1		Portal raksasa terbuka di tempat artefak itu berada. Para bom terpaku, saling memandang dalam kebingungan./Bomba Azul pun tersenyum dan berkata, "Sepertinya kita sudah cukup menjalani ujian untuk saat ini, kan?" Mereka semua tertawa, lalu mulai berjalan menyusuri perjalanan panjang pulang ke rumah...
game_end		Tamat!
game_end_sub	Tapi... apakah kamu sudah mengumpulkan semua Spec-nya?
game_end_2_sub	Kali ini benar-benar tamat.
