powered_by		Feito com
movie_0_2		Gaxlon foi rápido e ordenou que seus capangas atacassem as Super Bombas também, mas Aldan as protegeu com uma magia antiga./Vendo que as bombas não podiam ser derrotadas, Gaxlon ordenou que fossem aprisionadas cada uma num lugar distante... E assim começou seu reinado de terror.
movie_0_3		Conforme as Super Bombas eram levadas para lugares distantes, Bomba Azul, o mais esperto deles, conseguiu enganar seu captor e escapar./Ele viu Bomba Vermelha sendo levado na direção da Ilha de Tars, então seguiu para lá para começar a resgatar seus amigos...
movie_1_0		Bomba Azul e Bomba Vermelha comemoraram o reencontro e por terem derrotado o primeiro capanga de Gaxlon./No entanto, eles não tinham tempo a perder e logo se dirigiram para fora do castelo para procurar por seus outros amigos...
movie_1_1		Bomba Vermelha disse que viu Bomba Amarela sendo carregada na direção da Floresta dos Sábios, no continente./Bomba Azul olhou para ele e disse, brincando: "Espero que você saiba nadar bem!".
movie_2_0		Após derrotar a assustadora cobra Sahiss, Azul e Vermelha libertaram Bomba Amarela, que não poderia estar mais feliz. Ela começou a saltitar, alto como só ela podia./Mais uma vez, eles se apressaram em sair do lugar e procurar por Bomba Verde, a última das Super Bombas capturadas.
movie_2_1		Saindo da floresta pelo norte, eles viram a Serra da Chuva assomando no horizonte./Eles pensaram que aquele seria um bom esconderijo para um dos capangas de Gaxlon, então seguiram em frente, prontos para escalar...
movie_3_0		"CORRAM!!!", gritou Bomba Verde para as demais enquanto espinhos de gelo caíam do teto no ex-esconderijo de Ulor./Depois de escapar da ameaça, eles puderam respirar e Bomba Verde agradeceu Azul, Vermelha e Amarela pelo resgate./No entanto, Bomba Verde não estava muito animado (como de costume)...
movie_3_1		Ele disse que, quando estava sendo levado para o topo da montanha, viu uma criatura maligna dominando um vilarejo inocente na base da cordilheira./"Temos que ajudar aquelas pessoas!", ele disse, e todos concordaram, iniciando a longa descida...
movie_4_0		Após derrotar o maligno Zirk'n, as bombas se reuniram ao redor do idoso do vilarejo, que as agradeceu profusamente./Ele as perguntou se havia algo que poderiam fazer em retorno, e as bombas responderam que o que mais precisavam era informação, pois não sabiam onde procurar por Aldan.
movie_4_1		O idoso respondeu: "Não sei muito sobre esse vil Gaxlon que vocês mencionaram, mas sei de alguém que pode saber.../Dizem que um misterioso oráculo vive no Pântano Mual. Não posso dizer exatamente onde, mas posso lhes dar esse mapa que os ajudaráa chegar ao pântano."/Parecia que mais uma jornada estava prestes a começar...
movie_5_0		Vendo o monstro Globb derrotado, uma misteriosa figura surgiu do escuro. Era o oráculo mencionado pelo idoso da Vila Inkut!/As bombas perguntaram por uma direção onde procurar o rei, então o oráculo colocou as mãos sobre sua bola de cristal e começou a sussurrar.../"O rei derrubado estava preso em cavernas escuras, mas parece ter escapado para um lugar menos escuro nas redondezas..."
movie_5_1		As bombas concluíram que ele se referia às cavernas Ooria, bem ao norte de Enmat, muito longe de onde estavam agora.../"Não se preocupem amigos, alguém aqui pode ajudá-los em sua nobre missão...", disse o oráculo, e então uma criatura parecida com um dragão apareceu e carregou as bombas para o céu!/"Para as cavernas Ooria, por favor", disse bomba azul, e a criatura pareceu entender.
movie_6_0		O rei e as quatro super bombas estavam cheios de determinação após a derrota do braço-direito de Gaxlon./"Tivemos uma vitória aqui, mas temos que nos apressar, pois nosso povo sofre com a tirania de Gaxlon enquanto conversamos!", o rei falou, e as bombas sentiram-se motivadas a colocar um fim na jornada.
movie_6_1		Eles se dirigiram à Cidade das Bombas, que ficava próxima, e ao se aproximar de suas fronteiras, sentiram como se Gaxlon estivesse olhando para elas à distância, com um sorriso perverso no rosto...
movie_7_0		O reinado de terror de Gaxlon finalmente chegou ao fim. Aldan o condenou a um exílio perpétuo numa terra distante, fora de Enmat./As super bombas assistiram a esse momento aliviadas, enquanto Gaxlon se encolhia de vergonha e se afastava do verdadeiro rei.
movie_7_1		A paz finalmente foi restaurada na Cidade das Bombas! Aldan saiu para a amurada do castelo onde acenou para o povo./Todos estavam extasiados, e receberam o rei e as super bombas com muito confete... Certamente, um dia a ser lembrado!
movie_8_0		Conforme as bombas se aproximaram do massivo artefato, raios de luz começaram a emanar dele, e uma assombrosa voz veio do nada.../"Parabéns, viajantes, vocês chegaram onde ninguém antes de vocês chegou. Porém, se buscam o verdadeiro conhecimento, a viagem não termina aqui.../Entrem nesse portal e um verdadeiro teste de suas virtudes vai começar..."
movie_8_1		Um enorme portal abriu onde o artefato se encontrava. As bombas olharam umas às outras, perplexas./Então, Bomba Azul disse, com um sorriso: "Acho que estamos satisfeitas de testes por um tempo, não?"./Todos riram, e começaram a caminhar o longo caminho de volta para casa...
game_end		Fim!
game_end_sub	Mas... você pegou todos os Specs?
game_end_2_sub	Agora é sério.
